work_year,job_title,job_category,salary_in_usd,experience_level,company_location
2023,AI Engineer,Machine Learning and AI,64781,Senior,Spain
2023,Data Engineer,Data Engineering,284310,Senior,United States
2023,Data Engineer,Data Engineering,153090,Senior,United States
2023,Research Scientist,Data Science and Research,204500,Senior,United States
2023,Research Scientist,Data Science and Research,142200,Senior,United States
2023,Data Scientist,Data Science and Research,111000,Mid-level,United States
2023,Data Analyst,Data Analysis,213210,Senior,United States
2023,Data Analyst,Data Analysis,102434,Senior,United States
2023,Data Scientist,Data Science and Research,226600,Senior,United States
2023,Data Scientist,Data Science and Research,140100,Senior,United States
2023,Data Scientist,Data Science and Research,156400,Senior,United States
2023,Research Engineer,Data Science and Research,250000,Senior,United States
2023,Research Engineer,Data Science and Research,176000,Senior,United States
2022,Machine Learning Scientist,Machine Learning and AI,80000,Entry-level,United States
2023,Analytics Engineer,Leadership and Management,233400,Senior,United States
2023,Analytics Engineer,Leadership and Management,145300,Senior,United States
2023,Data Engineer,Data Engineering,248000,Senior,United States
2023,Data Engineer,Data Engineering,149000,Senior,United States
2023,Analytics Engineer,Leadership and Management,156450,Entry-level,United States
2023,Analytics Engineer,Leadership and Management,119200,Entry-level,United States
2023,Machine Learning Engineer,Machine Learning and AI,185000,Senior,United States
2023,Machine Learning Engineer,Machine Learning and AI,120250,Senior,United States
2023,Data Science Lead,Data Science and Research,225000,Mid-level,United States
2023,Data Science Lead,Data Science and Research,152700,Mid-level,United States
2023,AI Scientist,Machine Learning and AI,64781,Senior,Germany
2023,Data Engineer,Data Engineering,139152,Mid-level,United States
2023,Data Engineer,Data Engineering,82452,Mid-level,United States
2023,Data Strategist,Data Architecture and Modeling,85000,Mid-level,United States
2023,Data Strategist,Data Architecture and Modeling,65000,Mid-level,United States
2023,Data Analyst,Data Analysis,139000,Senior,United States
2023,Machine Learning Engineer,Machine Learning and AI,200000,Executive,United States
2023,Machine Learning Engineer,Machine Learning and AI,145000,Executive,United States
2023,Machine Learning Engineer,Machine Learning and AI,269500,Senior,United States
2023,Machine Learning Engineer,Machine Learning and AI,295500,Executive,United States
2023,Machine Learning Engineer,Machine Learning and AI,165200,Executive,United States
2023,ML Engineer,Machine Learning and AI,235000,Mid-level,United States
2023,ML Engineer,Machine Learning and AI,135000,Mid-level,United States
2023,Analytics Engineer,Leadership and Management,180000,Senior,United States
2023,Analytics Engineer,Leadership and Management,144000,Senior,United States
2023,Data Engineer,Data Engineering,49216,Mid-level,United Kingdom
2023,Data Engineer,Data Engineering,43064,Mid-level,United Kingdom
2023,Data Analyst,Data Analysis,65000,Mid-level,United States
2023,Data Manager,Leadership and Management,160667,Senior,United States
2023,MLOps Engineer,Machine Learning and AI,27568,Mid-level,Brazil
2023,Data Engineer,Data Engineering,304200,Senior,United States
